question_id,label
18866001,4
153572011,0
528131003,0
351972040,3
271360010,8
140065001,4
148361000,0
7420009,2
309404000,2
271324003,5
17936006,3
266133001,5
144832009,7
147539002,1
409091003,2
131343003,6
436621000,5
279324003,7
412194006,9
5011002,5
546274000,0
265745001,9
534900012,6
253848002,6
16669002,9
525501013,8
543661004,3
144925002,8
396725023,2
405982002,1
273288000,9
116994001,8
136168001,8
43774039,2
153749000,9
3770003,7
400706002,4
395965008,1
273782000,2
404361003,3
405060002,7
12251001,0
550239020,2
275663005,6
415052001,3
536103004,6
543164002,3
460296000,6
175558004,4
268195009,9
135480000,1
371486000,6
533898000,3
414130002,9
20106003,8
248033001,7
526922002,8
396725005,2
191350000,7
65984010,4
530592004,7
540257000,6
397217000,2
266715003,9
403916001,5
137006002,2
2774001,8
329150001,3
550239004,2
148292001,6
4259008,2
280442001,3
530286013,3
400353001,5
14027004,8
533998002,8
264365001,3
142674000,1
404361004,6
141862030,1
521824007,0
535289000,2
22882039,3
149212000,6
148828003,0
327682000,0
276064001,1
306621000,6
13754000,1
263278000,0
278799004,8
134294026,4
218842003,8
309404021,2
396725016,2
22529003,8
7953002,4
275532003,8
467604001,5
265100005,5
410904002,4
139889001,5
22529004,8
6447000,5
277798001,3
527907013,4
279058000,0
132106002,6
21921003,3
504277000,8
483453007,6
110058004,5
506605003,9
533897010,6
534417003,0
281327017,7
277665001,6
403109001,0
301754001,6
414002005,2
269051020,1
18935000,0
253848001,6
402245003,8
414923003,0
12792003,1
156480019,0
406296004,1
3911027,3
406666003,1
269051015,1
541472000,9
283960000,2
111756002,4
529283001,7
329268003,1
548702001,9
405137005,8
547284000,2
8062000,6
6151008,3
137365007,3
268388004,1
274514009,7
143783007,3
273979004,3
133883003,8
6182006,5
412208002,4
140738004,8
135288003,2
132529002,1
548377000,2
145128001,4
440285009,2
405207002,9
14329000,6
281721002,8
325646005,8
148994012,4
276491002,9
8657003,4
273904004,8
148422001,4
109409000,5
139796002,1
526713014,5
279182011,9
397064006,7
308872000,5
539718001,7
13874001,7
471373004,0
271736002,6
151637005,7
536830002,7
532583004,8
400999003,3
274105000,4
409767002,2
78684004,4
145337001,6
533451003,7
475765004,0
3225001,7
9002,6
543661002,2
144337000,4
141862026,1
137203003,7
139702000,8
528116007,5
274286012,7
353098025,7
510665022,8
236318009,3
460055007,0
284759001,2
353098022,7
268317003,2
459401002,5
267719000,3
538133006,3
405013011,1
533454001,7
13576000,1
540838004,5
401835003,1
530390008,8
403463007,3
407390003,9
263764126,7
68147005,7
6824000,7
531459002,0
19239002,8
9509000,8
11630007,5
408048006,6
283199001,9
156328002,0
131976001,8
706002,5
504027003,9
133634002,7
263878013,1
137999005,3
534900003,6
284732001,2
270379001,9
306621005,6
139344003,5
268510009,7
401804005,8
548575000,2
396481012,8
131427000,7
408405003,1
531860001,9
394666003,6
527866000,3
406196004,8
533757000,4
401416003,1
131909026,2
269592012,9
283524005,4
236074001,4
543333003,3
400028001,9
524651005,7
396725013,2
458763000,3
412657002,9
17629000,9
40205000,6
538182001,1
141448002,6
532638015,6
399973001,4
20619002,9
535289002,2
134378001,8
279584013,1
531316000,2
527785005,8
372871001,6
4441002,9
155106003,2
437756006,3
541706003,6
273979001,9
401561003,8
406601006,5
397167006,9
405864001,3
276017003,7
21213001,7
264395003,1
474858009,0
310128002,0
462151001,2
532188002,8
157198004,2
268227002,3
393379001,6
136078000,1
184184001,3
18244001,3
146933005,3
255937006,5
403525002,8
14998001,1
528060001,4
265619000,8
139389001,0
297251002,5
538916001,8
409949006,0
397167007,9
7179018,9
141947000,7
520005002,1
144503002,8
265273009,4
404114008,9
18157002,0
146084002,0
536100001,6
327682004,0
528840001,0
148002004,5
25001,1
22564011,2
142350003,4
152871006,2
536474002,6
546695002,2
396136004,3
14366000,9
25515005,7
410585000,5
393781007,6
534627000,5
278910006,5
306376014,2
275700002,9
12463002,9
543994000,9
280622000,0
166207006,4
527264001,4
139604005,2
279511010,1
139604003,2
271890012,6
6230002,2
410398008,3
404495000,7
148474014,4
273548006,8
404865004,2
268317001,2
22229000,7
143286005,0
87525004,3
44569003,9
542426003,8
576526000,2
547165017,3
136894000,3
249141001,6
265663001,9
396743003,3
143425013,8
12999004,8
542475002,4
142953001,5
400377001,4
532638018,6
529827001,7
21280004,3
280422005,1
68130004,4
411740001,4
143984003,7
395740004,1
134294021,4
145845007,1
404114002,9
273503001,7
399558000,5
148986004,5
526290000,4
279182057,9
24086004,2
267649000,1
403888003,2
2644002,8
437297000,7
268512009,4
139416017,1
306511005,4
8062004,6
403627002,5
150502015,3
146098003,9
532895001,1
146121002,2
16935002,1
538090000,1
281382000,3
11158002,8
531033009,4
147971000,5
527656000,0
395341006,8
414961018,7
274642003,1
273497001,3
18373003,8
278612006,0
176032002,5
176720000,0
408556001,1
255937011,5
524317002,4
284759000,2
407698000,0
527526004,8
145313001,6
10600002,0
133467031,4
542221001,9
20770001,0
12597006,8
415570003,6
415232018,4
264091003,0
536474003,6
12678000,0
146706001,8
544188000,8
380007015,7
533835000,8
277798005,3
544866001,7
569177002,7
100486002,5
150769001,8
6295004,7
287119000,2
139416019,1
396725010,2
395684000,3
544253000,3
285486001,9
276047001,8
538957000,1
405401002,8
529117006,5
404005008,4
14960001,4
270871001,1
138032001,3
406030002,7
397167004,9
144796002,6
526290004,7
534000026,3
276004006,3
24086003,2
5425000,0
267734002,7
529353006,5
